side,side,eta,phi,sector,TwinMux,TwinMux_link,TwinMux_bit,ring,BLANK
-1,-1,6,15,3,YB-1_S3,6,4,-1,BLANK
1,1,6,15,3,YB+1_S3,6,4,1,BLANK
-1,-1,7,15,3,YB-1_S3,6,1,-1,BLANK
1,1,7,15,3,YB+1_S3,6,1,1,BLANK
-1,-1,8,15,3,YB-1_S3,7,36,-1,BLANK
1,1,8,15,3,YB+1_S3,7,36,1,BLANK
-1,-1,9,15,3,YB-1_S3,7,33,-1,BLANK
1,1,9,15,3,YB+1_S3,7,33,1,BLANK
-1,-1,10,15,3,YB-1_S3,7,30,-1,BLANK
1,1,10,15,3,YB+1_S3,7,30,1,BLANK
-1,-1,11,15,3,YB-2_S3,6,13,-2,BLANK
1,1,11,15,3,YB+2_S3,6,13,2,BLANK
-1,-1,12,15,3,YB-2_S3,6,10,-2,BLANK
1,1,12,15,3,YB+2_S3,6,10,2,BLANK
-1,-1,13,15,3,YB-2_S3,6,7,-2,BLANK
1,1,13,15,3,YB+2_S3,6,7,2,BLANK
-1,-1,14,15,3,YB-2_S3,6,4,-2,BLANK
1,1,14,15,3,YB+2_S3,6,4,2,BLANK
-1,-1,15,15,3,YB-2_S3,6,1,-2,BLANK
1,1,15,15,3,YB+2_S3,6,1,2,BLANK
-1,-1,1,16,3,YB0_S3,7,36,0,BLANK
1,1,1,16,3,YB0_S3,6,3,0,BLANK
-1,-1,2,16,3,YB0_S3,6,4,0,BLANK
1,1,2,16,3,YB0_S3,6,5,0,BLANK
-1,-1,3,16,3,YB0_S3,7,37,0,BLANK
1,1,3,16,3,YB0_S3,6,2,0,BLANK
